"Instruction","Op1","Op2","Op3","Op4","APM
Vol","Cpuid flag","Ops","Unit","Latency","Throughput"
"AAA",,,,,3,"general","ucode",,3,0.3
"AAD",,,,,3,"general","ucode",,5,0.5
"AAM",,,,,3,"general","ucode",,,
"AAS",,,,,3,"general","ucode",,6,
"ADC","reg","reg/mem",,,3,"general",1,"ALU",1,4
"ADCX","reg","reg/mem",,,3,"ADX",1,"ALU0/1/2",1,3
"ADD","reg","reg/mem",,,3,"general",1,"ALU",1,4
"ADDPD","xmm1","xmm2",,,4,"SSE2",1,"FP2/3",3,2
"ADDPS","xmm1","xmm2",,,4,"SSE",1,"FP2/3",3,2
"ADDSD","xmm1","xmm2",,,4,"SSE2",1,"FP2/3",3,2
"ADDSS","xmm1","xmm2",,,4,"SSE",1,"FP2/3",3,2
"ADDSUBPD","xmm1","xmm2",,,4,"SSE3",1,"FP2/3",3,2
"ADDSUBPS","xmm1","xmm2",,,4,"SSE3",1,"FP2/3",3,2
"ADOX","reg","reg/mem",,,3,"ADX",1,"ALU0/1/2",1,3
"AESDEC","xmm1","xmm2",,,4,"AES",1,"FP0/1",4,2
"AESDECLAST","xmm1","xmm2",,,4,"AES",1,"FP0/1",4,2
"AESENC","xmm1","xmm2",,,4,"AES",1,"FP0/1",4,2
"AESENCLAST","xmm1","xmm2",,,4,"AES",1,"FP0/1",4,2
"AESIMC","xmm1","xmm2",,,4,"AES",1,"FP0/1",4,2
"AESKEYGENASSIST","xmm1","xmm2","imm",,4,"AES",1,"FP0/1",4,2
"AND","reg","reg/mem",,,3,"general",1,"ALU",1,4
"ANDN","reg32/64","reg32/64","mem32/64",,3,"BMI",1,"ALU",1,4
"ANDN","reg32/64","reg32/64","reg32/64",,3,"BMI",1,"ALU",1,4
"ANDNPD","xmm1","xmm2",,,4,"SSE2",1,"FP0/1/2/3",1,4
"ANDNPS","xmm1","xmm2",,,4,"SSE",1,"FP0/1/2/3",1,4
"ANDPD","xmm1","xmm2",,,4,"SSE2",1,"FP0/1/2/3",1,4
"ANDPS","xmm1","xmm2",,,4,"SSE",1,"FP0/1/2/3",1,4
"ARPL","reg/mem","reg",,,3,"general","ucode",,,
"BEXTR","reg","reg","reg",,3,"BMI",1,"ALU1/2",1,2
"BEXTR","reg32/64","reg32/64","imm32",,3,"TBM","not supported",,,
"BLCFILL","reg","mem",,,3,"TBM","not supported",,,
"BLCFILL","reg","reg",,,3,"TBM","not supported",,,
"BLCI","reg","mem",,,3,"TBM","not supported",,,
"BLCI","reg","reg",,,3,"TBM","not supported",,,
"BLCIC","reg","mem",,,3,"TBM","not supported",,,
"BLCIC","reg","reg",,,3,"TBM","not supported",,,
"BLCMSK","reg","mem",,,3,"TBM","not supported",,,
"BLCMSK","reg","reg",,,3,"TBM","not supported",,,
"BLCS","reg","mem",,,3,"TBM","not supported",,,
"BLCS","reg","reg",,,3,"TBM","not supported",,,
"BLENDPD","xmm1","xmm2","imm",,4,"SSE4.1",1,"FP0/1/2/3",1,4
"BLENDPS","xmm1","xmm2","imm",,4,"SSE4.1",1,"FP0/1/2/3",1,4
"BLENDVPD","xmm1","xmm2","<xmm0>",,4,"SSE4.1",1,"FP0/1",1,2
"BLENDVPS","xmm1","xmm2","<xmm0>",,4,"SSE4.1",1,"FP0/1",1,2
"BLSFILL","reg","mem",,,3,"TBM","not supported",,,
"BLSFILL","reg","reg",,,3,"TBM","not supported",,,
"BLSI","reg","mem",,,3,"BMI",2,"ALU",2,2
"BLSI","reg32/64","reg32/64",,,3,"BMI",2,"ALU",2,2
"BLSIC","reg","mem",,,3,"TBM","not supported",,,
"BLSIC","reg32/64","reg32/64",,,3,"TBM","not supported",,,
"BLSMSK","reg32/64","reg32/64",,,3,"BMI",2,"ALU",2,2
"BLSR","reg32/64","reg32/64",,,3,"BMI",2,"ALU",2,2
"BOUND",,,,,3,"general","ucode",,,
"BSF",,,,,3,"general",6,,3,0.5
"BSR",,,,,3,"general",6,,4,0.25
"BSWAP",,,,,3,"general",1,"ALU",1,4
"BT",,,,,3,"general",1,"ALU1/2",1,2
"BTC",,,,,3,"general",2,"ALU1/2",2,1
"BTR",,,,,3,"general",2,"ALU1/2",2,1
"BTS",,,,,3,"general",2,"ALU1/2",2,1
"BZHI","reg","reg/mem","reg",,3,"BMI2",1,"ALU1/2",1,2
"CALL (near)","imm16/32",,,,3,"general",2,"BRU, ST",1,1
"CALL (near)","mem16/32/64",,,,3,"general","ucode",,,
"CALL (near)","reg16/32/64",,,,3,"general",2,"BRU, ST",1,1
"CALL FAR","pntr16/mem16:16/32",,,,3,"general","ucode",,,
"CBW",,,,,3,"general",1,"ALU",1,4
"CDQ",,,,,3,"general",1,"ALU",1,4
"CDQE",,,,,3,"AMD64",1,"ALU",1,4
